"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.cache_data","dataset.data_dir","dataset.dev","dataset.experiment","dataset.patch_overlap","dataset.patch_size","dataset.project","dataset.queue_length","dataset.rescale_factor","dataset.samples_per_volume","dataset.test","dataset.train","dataset.unlabeled_dataset","dataset.use_patches","model_opts.arch","model_opts.args.arch","model_opts.args.binary_split","model_opts.args.classification_loss","model_opts.args.encoder_name","model_opts.args.encoder_weights","model_opts.args.inchannels","model_opts.args.net_depth","model_opts.args.outchannels","model_opts.name","train_par.batch_size","train_par.devices","train_par.early_stopping_flag","train_par.epochs","train_par.eval_threshold","train_par.gpu_to_use","train_par.loss_opts.args.alpha","train_par.loss_opts.args.beta","train_par.loss_opts.args.gamma","train_par.loss_opts.args.gamma_class","train_par.loss_opts.args.gamma_close","train_par.loss_opts.args.gamma_mom","train_par.loss_opts.args.gamma_round","train_par.loss_opts.args.gamma_topo","train_par.loss_opts.args.weight","train_par.loss_opts.name","train_par.lr","train_par.num_classes","train_par.optimizer.name","train_par.patience","train_par.profiler","train_par.random_seed","train_par.results_model_filename","train_par.results_path","train_par.scheduler.name","train_par.strategy","train_par.weight_decay","train_par.workers","epoch","train_dataset_acc","train_dataset_acc_benign","train_dataset_acc_malignant","train_dataset_f1","train_dataset_f1_benign","train_dataset_f1_malignant","train_dataset_iou","train_dataset_iou_benign","train_dataset_iou_malignant","train_per_image_acc","train_per_image_acc_benign","train_per_image_acc_malignant","train_per_image_f1","train_per_image_f1_benign","train_per_image_f1_malignant","train_per_image_iou","train_per_image_iou_benign","train_per_image_iou_malignant","trainer/global_step","valid_dataset_acc","valid_dataset_acc_benign","valid_dataset_acc_malignant","valid_dataset_f1","valid_dataset_f1_benign","valid_dataset_f1_malignant","valid_dataset_iou","valid_dataset_iou_benign","valid_dataset_iou_malignant","valid_per_image_acc","valid_per_image_acc_benign","valid_per_image_acc_malignant","valid_per_image_f1","valid_per_image_f1_benign","valid_per_image_f1_malignant","valid_per_image_iou","valid_per_image_iou_benign","valid_per_image_iou_malignant","test_dataset_acc","test_dataset_acc_benign","test_dataset_acc_malignant","test_dataset_f1","test_dataset_f1_benign","test_dataset_f1_malignant","test_dataset_iou","test_dataset_iou_benign","test_dataset_iou_malignant","test_per_image_acc","test_per_image_acc_benign","test_per_image_acc_malignant","test_per_image_f1","test_per_image_f1_benign","test_per_image_f1_malignant","test_per_image_iou","test_per_image_iou_benign","test_per_image_iou_malignant"
"_uncorrected_lm_r2_deeplabv3plus","finished","-","","","2025-05-21T23:45:26.000Z","310","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","deeplabv3plus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","141","0.9977809190750122","","","0.9861381649971008","","","0.9726666212081908","","","0.9977809190750122","","","0.9741775989532472","","","0.9537605047225952","","","141","0.8820255994796753","","","0.4993992149829865","","","0.3330901265144348","","","0.8820255994796753","","","0.4867803454399109","","","0.3643855750560761","","","0.8953671455383301","","","0.5269650816917419","","","0.3603333830833435","","","0.8953671455383301","","","0.5089764595031738","","","0.3815732002258301","",""
"_uncorrected_lm_r2_unet","finished","-","","","2025-05-21T23:42:10.000Z","184","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","unet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","81","0.9968211650848388","","","0.9795100092887878","","","0.959902286529541","","","0.9968211650848388","","","0.9571526050567628","","","0.9356911182403564","","","81","0.8891734480857849","","","0.5038259029388428","","","0.3370223641395569","","","0.8891735076904297","","","0.4872602224349976","","","0.3681870996952057","","","0.8985681533813477","","","0.5213741064071655","","","0.35583585500717163","","","0.8985681533813477","","","0.5012152194976807","","","0.38000404834747314","",""
"_uncorrected_lm_r2_unetplusplus","finished","-","","","2025-05-21T23:38:59.000Z","179","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","unetplusplus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","78","0.996530532836914","","","0.9765208959579468","","","0.9542196989059448","","","0.996530532836914","","","0.9539607763290404","","","0.9297521710395812","","","78","0.8815054893493652","","","0.42569130659103394","","","0.2713283896446228","","","0.8815054297447205","","","0.4129132032394409","","","0.3090161383152008","","","0.8912351131439209","","","0.4384944438934326","","","0.28445833921432495","","","0.8912351727485657","","","0.4304288625717163","","","0.3205629587173462","",""
"_uncorrected_lm_r2_manet","finished","-","","","2025-05-21T23:35:46.000Z","181","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","manet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","79","0.9966990947723388","","","0.9791492223739624","","","0.9591684341430664","","","0.9966990947723388","","","0.954945981502533","","","0.9316508769989014","","","79","0.8839199542999268","","","0.4596112668514252","","","0.29884499311447144","","","0.8839199542999268","","","0.4450332820415497","","","0.3342401385307312","","","0.8942115306854248","","","0.4813334345817566","","","0.31991511583328247","","","0.8942115306854248","","","0.4676340520381927","","","0.35224616527557373","",""
"_uncorrected_lm_r2_pspnet","finished","-","","","2025-05-21T23:30:24.000Z","310","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","pspnet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","141","0.997716784477234","","","0.9856197834014891","","","0.971649706363678","","","0.997716784477234","","","0.9655804634094238","","","0.9455775022506714","","","141","0.8818548917770386","","","0.492183119058609","","","0.32693690061569214","","","0.8818548917770386","","","0.4795737564563751","","","0.3580106496810913","","","0.8951685428619385","","","0.5237846374511719","","","0.3572932481765747","","","0.8951685428619385","","","0.5156301856040955","","","0.3888035714626312","",""
"_uncorrected_lb_r2_deeplabv3plus","finished","-","","","2025-05-21T23:27:12.000Z","181","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","deeplabv3plus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","77","0.9954215288162231","","","0.9768861532211304","","","0.9548995494842528","","","0.9954214692115784","","","0.95283305644989","","","0.9250498414039612","","","77","0.9478439092636108","","","0.6428070664405823","","","0.4738571047782898","","","0.9478439688682556","","","0.5861464142799377","","","0.5037988424301147","","","0.9644570350646972","","","0.7007533311843872","","","0.5413296818733215","","","0.9644570350646972","","","0.6385359764099121","","","0.5300431251525879","",""
"_uncorrected_lb_r2_unet","finished","-","","","2025-05-21T23:23:57.000Z","184","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","unet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","80","0.9955435991287231","","","0.9769952297210692","","","0.9551550149917604","","","0.9955435395240784","","","0.9580117464065552","","","0.9297622442245485","","","80","0.9371209144592284","","","0.6138818264007568","","","0.4429372251033783","","","0.9371208548545836","","","0.5488622784614563","","","0.45693352818489075","","","0.956855058670044","","","0.6718848943710327","","","0.5065537095069885","","","0.956855058670044","","","0.5957317352294922","","","0.476689100265503","",""
"_uncorrected_lb_r2_unetplusplus","finished","-","","","2025-05-21T23:20:44.000Z","181","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","unetplusplus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","77","0.9953243136405944","","","0.9764078855514526","","","0.9539961814880372","","","0.9953243732452391","","","0.9546293020248412","","","0.9255696535110474","","","77","0.9472885131835938","","","0.6379806995391846","","","0.4688326120376587","","","0.947288453578949","","","0.574823260307312","","","0.4904421269893646","","","0.9661715030670166","","","0.7117366790771484","","","0.5544579029083252","","","0.9661715030670166","","","0.646882176399231","","","0.538192629814148","",""
"_uncorrected_lb_r2_manet","finished","-","","","2025-05-21T23:17:36.000Z","176","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","manet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","75","0.9952594637870787","","","0.9763717651367188","","","0.9538938999176024","","","0.995259404182434","","","0.9454550743103028","","","0.9136569499969482","","","75","0.9418089389801024","","","0.6266168355941772","","","0.4563716053962707","","","0.9418089389801024","","","0.5718435049057007","","","0.4866382479667664","","","0.9579054713249208","","","0.6717034578323364","","","0.5075429081916809","","","0.9579055309295654","","","0.6100340485572815","","","0.5043889880180359","",""
"_uncorrected_lb_r2_pspnet","finished","-","","","2025-05-21T23:14:21.000Z","184","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs unlabel splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","true","false","pspnet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","79","0.9953622221946716","","","0.9773857593536376","","","0.955796480178833","","","0.9953621625900269","","","0.9498634338378906","","","0.9197660684585572","","","79","0.9443399906158448","","","0.6289025545120239","","","0.45894497632980347","","","0.9443400502204896","","","0.5683264136314392","","","0.4846537411212921","","","0.9643603563308716","","","0.7085632085800171","","","0.550254225730896","","","0.9643603563308716","","","0.6398457288742065","","","0.531609296798706","",""
