"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.cache_data","dataset.data_dir","dataset.dev","dataset.experiment","dataset.patch_overlap","dataset.patch_size","dataset.project","dataset.queue_length","dataset.rescale_factor","dataset.samples_per_volume","dataset.test","dataset.train","dataset.unlabeled_dataset","dataset.use_patches","model_opts.arch","model_opts.args.arch","model_opts.args.classification_loss","model_opts.args.encoder_name","model_opts.args.encoder_weights","model_opts.args.inchannels","model_opts.args.net_depth","model_opts.args.outchannels","model_opts.name","train_par.batch_size","train_par.devices","train_par.early_stopping_flag","train_par.epochs","train_par.eval_threshold","train_par.gpu_to_use","train_par.loss_opts.args.alpha","train_par.loss_opts.args.gamma","train_par.loss_opts.args.weight","train_par.loss_opts.name","train_par.lr","train_par.num_classes","train_par.optimizer.name","train_par.patience","train_par.profiler","train_par.random_seed","train_par.results_model_filename","train_par.results_path","train_par.scheduler.name","train_par.strategy","train_par.weight_decay","train_par.workers","epoch","test_dataset_acc","test_dataset_f1","test_dataset_iou","test_per_image_acc","test_per_image_f1","test_per_image_iou","train_dataset_acc","train_dataset_f1","train_dataset_iou","train_per_image_acc","train_per_image_f1","train_per_image_iou","trainer/global_step","valid_dataset_acc","valid_dataset_f1","valid_dataset_iou","valid_per_image_acc","valid_per_image_f1","valid_per_image_iou"
"experiment1_uncorrected_l_r3_deeplabv3plus","finished","-","","","2025-05-19T04:08:55.000Z","67","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_l.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_l.csv","/data/GitHub/first_year_exam/data/train_l.csv","true","false","deeplabv3plus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_l_r3_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","24","0.947157859802246","0.3775373101234436","0.23276184499263763","0.9471577405929564","0.5120556950569153","0.4081012010574341","0.9858779311180116","0.9204344749450684","0.8526089787483215","0.9858779311180116","0.8212040662765503","0.7498050332069397","24","0.9247888326644896","0.38306304812431335","0.23846696317195892","0.9247888326644896","0.35918155312538147","0.2780744433403015"
"experiment1_uncorrected_l_r3_unet","finished","-","","","2025-05-19T04:06:00.000Z","164","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_l.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_l.csv","/data/GitHub/first_year_exam/data/train_l.csv","true","false","unet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_l_r3_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","72","0.9579232335090636","0.6578259468078613","0.496019184589386","0.957923173904419","0.6616403460502625","0.5504840612411499","0.9960340261459352","0.9778330326080322","0.9566384553909302","0.9960339069366456","0.9481343626976012","0.9202332496643066","72","0.9500765800476074","0.7082568407058716","0.5497490763664246","0.9500765800476074","0.6276015639305115","0.5279589891433716"
"experiment1_uncorrected_l_r3_unetplusplus","finished","-","","","2025-05-19T04:04:41.000Z","67","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_l.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_l.csv","/data/GitHub/first_year_exam/data/train_l.csv","true","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_l_r3_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","24","0.9461205005645752","0.3577503561973572","0.21784718334674835","0.9461205005645752","0.5231127142906189","0.4199639558792114","0.9859952926635742","0.9210192561149596","0.8536262512207031","0.9859952926635742","0.822516918182373","0.7517136335372925","24","0.9240655899047852","0.3736341595649719","0.2316577136516571","0.9240655899047852","0.35780245065689087","0.2732701301574707"
"experiment1_uncorrected_l_r3_manet","finished","-","","","2025-05-19T04:01:35.000Z","175","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_l.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_l.csv","/data/GitHub/first_year_exam/data/train_l.csv","true","false","manet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_l_r3_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","77","0.9581023454666138","0.6568276286125183","0.4937273859977722","0.9581023454666138","0.6508725881576538","0.5376649498939514","0.9962089657783508","0.9787853956222534","0.9585057497024536","0.9962089657783508","0.9433014392852784","0.918651819229126","77","0.949718713760376","0.7069187164306641","0.5482469797134399","0.949718713760376","0.6236231923103333","0.5226292610168457"
"experiment1_uncorrected_l_r3_pspnet","finished","-","","","2025-05-19T04:00:16.000Z","67","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_l.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_l.csv","/data/GitHub/first_year_exam/data/train_l.csv","true","false","pspnet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_l_r3_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","24","0.9465253949165344","0.3651316165924072","0.22335657477378845","0.9465253353118896","0.527874767780304","0.4253981113433838","0.9854382872581482","0.9176081418991088","0.8477600812911987","0.9854382276535034","0.8170685768127441","0.7436949014663696","24","0.9249004125595092","0.38559460639953613","0.2407224327325821","0.9249004125595092","0.36825817823410034","0.28215694427490234"
"experiment1_uncorrected_lm_r2_deeplabv3plus","finished","-","","","2025-05-19T03:58:57.000Z","67","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","deeplabv3plus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r2_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.894386351108551","0.4490810930728912","0.29661959409713745","0.8943862915039062","0.34802448749542236","0.25654441118240356","0.9840192794799804","0.9108335971832277","0.8363116979598999","0.9840192198753356","0.8236955404281616","0.7462159991264343","23","0.8835999965667725","0.3801039755344391","0.23613294959068296","0.8835999965667725","0.3618705868721008","0.2606489062309265"
"experiment1_uncorrected_lm_r2_unet","finished","-","","","2025-05-19T03:57:39.000Z","66","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","unet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r2_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.8758982419967651","0.26722604036331177","0.15748809278011322","0.8758981823921204","0.19337908923625943","0.14002740383148193","0.9843200445175172","0.9124184846878052","0.8390252590179443","0.9843199253082277","0.8309927582740784","0.7520872950553894","23","0.8664906024932861","0.18425890803337097","0.10149004310369492","0.8664906024932861","0.1847805827856064","0.1289055496454239"
"experiment1_uncorrected_lm_r2_unetplusplus","finished","-","","","2025-05-19T03:56:21.000Z","66","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","unetplusplus","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.8980453014373779","0.4739369750022888","0.3205564618110657","0.8980453014373779","0.3588489890098572","0.2685850262641907","0.9839705228805542","0.9105722904205322","0.8358430862426758","0.9839704632759094","0.8226407170295715","0.7447620630264282","23","0.8820751905441284","0.3704883456230163","0.22879689931869507","0.8820751905441284","0.35420989990234375","0.2538546323776245"
"experiment1_uncorrected_lm_r2_manet","finished","-","","","2025-05-19T03:55:04.000Z","66","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","manet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r2_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.8909802436828613","0.41901522874832153","0.27513837814331055","0.8909802436828613","0.2998809218406677","0.2225690633058548","0.9847524166107178","0.9143333435058594","0.8422644734382629","0.9847524166107178","0.8374152183532715","0.7611077427864075","23","0.8746258020401001","0.33359599113464355","0.20023265480995175","0.8746257424354553","0.30787408351898193","0.2124154567718506"
"experiment1_uncorrected_lm_r2_pspnet","finished","-","","","2025-05-19T03:53:46.000Z","66","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","experiment1","0","64","NETs unlabel","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","true","false","pspnet","PSPNet","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","[0.0002818244106728816,0.6997443448962491,0.03218500222273938,0.09628542892937604,0.14095661371987137,0.030546785821091195]","3","0.1","tversky","0.001","2","adamw","15","false","default","/data/GitHub/first_year_exam/results/experiment1/experiment1_uncorrected_lm_r2_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","23","0.8924623131752014","0.4440957605838776","0.28995370864868164","0.8924622535705566","0.36449310183525085","0.2689893841743469","0.9837245941162108","0.9094921350479126","0.8340474367141724","0.9837245345115662","0.8239772319793701","0.7454838752746582","23","0.8834118843078613","0.3724897503852844","0.23085197806358335","0.8834118843078613","0.3617035448551178","0.2643388509750366"
