"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset.cache_data","dataset.data_dir","dataset.dev","dataset.experiment","dataset.patch_overlap","dataset.patch_size","dataset.project","dataset.queue_length","dataset.rescale_factor","dataset.samples_per_volume","dataset.test","dataset.train","dataset.unlabeled_dataset","dataset.use_patches","model_opts.arch","model_opts.args.arch","model_opts.args.binary_split","model_opts.args.classification_loss","model_opts.args.encoder_name","model_opts.args.encoder_weights","model_opts.args.inchannels","model_opts.args.net_depth","model_opts.args.outchannels","model_opts.name","train_par.batch_size","train_par.devices","train_par.early_stopping_flag","train_par.epochs","train_par.eval_threshold","train_par.gpu_to_use","train_par.loss_opts.args.alpha","train_par.loss_opts.args.beta","train_par.loss_opts.args.gamma","train_par.loss_opts.args.gamma_class","train_par.loss_opts.args.gamma_close","train_par.loss_opts.args.gamma_mom","train_par.loss_opts.args.gamma_round","train_par.loss_opts.args.gamma_topo","train_par.loss_opts.args.weight","train_par.loss_opts.name","train_par.lr","train_par.num_classes","train_par.optimizer.name","train_par.patience","train_par.profiler","train_par.random_seed","train_par.results_model_filename","train_par.results_path","train_par.scheduler.name","train_par.strategy","train_par.weight_decay","train_par.workers","epoch","test_dataset_acc","test_dataset_acc_benign","test_dataset_acc_malignant","test_dataset_f1","test_dataset_f1_benign","test_dataset_f1_malignant","test_dataset_iou","test_dataset_iou_benign","test_dataset_iou_malignant","test_per_image_acc","test_per_image_acc_benign","test_per_image_acc_malignant","test_per_image_f1","test_per_image_f1_benign","test_per_image_f1_malignant","test_per_image_iou","test_per_image_iou_benign","test_per_image_iou_malignant","train_dataset_acc","train_dataset_acc_benign","train_dataset_acc_malignant","train_dataset_f1","train_dataset_f1_benign","train_dataset_f1_malignant","train_dataset_iou","train_dataset_iou_benign","train_dataset_iou_malignant","train_per_image_acc","train_per_image_acc_benign","train_per_image_acc_malignant","train_per_image_f1","train_per_image_f1_benign","train_per_image_f1_malignant","train_per_image_iou","train_per_image_iou_benign","train_per_image_iou_malignant","trainer/global_step","valid_dataset_acc","valid_dataset_acc_benign","valid_dataset_acc_malignant","valid_dataset_f1","valid_dataset_f1_benign","valid_dataset_f1_malignant","valid_dataset_iou","valid_dataset_iou_benign","valid_dataset_iou_malignant","valid_per_image_acc","valid_per_image_acc_benign","valid_per_image_acc_malignant","valid_per_image_f1","valid_per_image_f1_benign","valid_per_image_f1_malignant","valid_per_image_iou","valid_per_image_iou_benign","valid_per_image_iou_malignant"
"_uncorrected_lm_r2_deeplabv3plus","finished","-","","","2025-05-21T21:06:01.000Z","166","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","deeplabv3plus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","58","0.928194522857666","","","0.7152748107910156","","","0.5581605434417725","","","0.928194522857666","","","0.6779253482818604","","","0.5604724884033203","","","0.9947788715362548","","","0.9683959484100342","","","0.938728928565979","","","0.9947789311408995","","","0.942984700202942","","","0.9063459634780884","","","290","0.9072693586349488","","","0.611565351486206","","","0.44100984930992126","","","0.9072693586349488","","","0.5763157606124878","","","0.4550402760505676","",""
"_uncorrected_lm_r2_unet","finished","-","","","2025-05-21T21:02:23.000Z","206","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","unet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","73","0.9261640310287476","","","0.7041457891464233","","","0.5443841218948364","","","0.9261640310287476","","","0.6752811670303345","","","0.5552830696105957","","","0.9960265159606934","","","0.9758095741271972","","","0.9527642726898192","","","0.9960264563560486","","","0.955129325389862","","","0.9258311986923218","","","365","0.9035980701446532","","","0.5849692821502686","","","0.413845032453537","","","0.9035980105400084","","","0.5578458309173584","","","0.4391218721866608","",""
"_uncorrected_lm_r2_unetplusplus","finished","-","","","2025-05-21T20:58:48.000Z","203","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","unetplusplus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","72","0.933749794960022","","","0.7476551532745361","","","0.5975058674812317","","","0.933749794960022","","","0.706739604473114","","","0.5913489460945129","","","0.995407223701477","","","0.9721407890319824","","","0.9457924962043762","","","0.9954073429107666","","","0.9454440474510192","","","0.9131630659103394","","","360","0.9110709428787231","","","0.6521422266960144","","","0.4838468134403229","","","0.9110708832740784","","","0.6165055632591248","","","0.49308931827545166","",""
"_uncorrected_lm_r2_manet","finished","-","","","2025-05-21T20:54:52.000Z","224","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","manet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","81","0.9245030879974364","","","0.7055448293685913","","","0.5464609861373901","","","0.9245030879974364","","","0.6680108308792114","","","0.5507678985595703","","","0.9962221384048462","","","0.9772388935089112","","","0.9555063247680664","","","0.9962221384048462","","","0.9512094259262084","","","0.923823356628418","","","405","0.906792163848877","","","0.6229814291000366","","","0.4524153470993042","","","0.906792163848877","","","0.5911948084831238","","","0.46486780047416687","",""
"_uncorrected_lm_r2_pspnet","finished","-","","","2025-05-21T20:50:44.000Z","236","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lm.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lm.csv","/data/GitHub/first_year_exam/data/train_lm.csv","false","false","pspnet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lm_r2_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","85","0.9256957173347472","","","0.7093918323516846","","","0.5503312349319458","","","0.9256956577301024","","","0.6860287189483643","","","0.5670927166938782","","","0.9956923723220824","","","0.9739731550216676","","","0.9492759704589844","","","0.9956923723220824","","","0.946260154247284","","","0.9136242866516112","","","425","0.9118967056274414","","","0.6538738012313843","","","0.4857545495033264","","","0.9118967056274414","","","0.6189273595809937","","","0.4907495379447937","",""
"_uncorrected_lb_r2_deeplabv3plus","finished","-","","","2025-05-21T20:44:42.000Z","350","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","deeplabv3plus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_deeplabv3plus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","129","0.9854515790939332","","","0.8668088912963867","","","0.7657406330108643","","","0.9854515194892884","","","0.7793161869049072","","","0.6948724985122681","","","0.9969197511672974","","","0.9843014478683472","","","0.9690908193588256","","","0.9969196319580078","","","0.97347092628479","","","0.9522567391395568","","","645","0.9659714698791504","","","0.7682749629020691","","","0.6260712146759033","","","0.9659714698791504","","","0.7454002499580383","","","0.6688536405563354","",""
"_uncorrected_lb_r2_unet","finished","-","","","2025-05-21T20:40:23.000Z","247","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","unet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_unet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","91","0.9842097759246826","","","0.8568620681762695","","","0.750641942024231","","","0.9842097759246826","","","0.7833505868911743","","","0.703917920589447","","","0.9954721927642822","","","0.9765127897262572","","","0.9541755318641664","","","0.9954721927642822","","","0.9586070775985718","","","0.9334701299667358","","","455","0.9623021483421326","","","0.739345908164978","","","0.5878207683563232","","","0.9623020887374878","","","0.6984715461730957","","","0.6288489699363708","",""
"_uncorrected_lb_r2_unetplusplus","finished","-","","","2025-05-21T20:35:22.000Z","289","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","unetplusplus","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_unetplusplus","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","105","0.983330249786377","","","0.8533341884613037","","","0.7449944019317627","","","0.9833303093910216","","","0.7659294605255127","","","0.6741372346878052","","","0.9959847927093506","","","0.9793636798858644","","","0.9595642685890198","","","0.99598491191864","","","0.9604731798171996","","","0.9365010261535645","","","525","0.9675183296203612","","","0.7886136770248413","","","0.6518538594245911","","","0.9675183296203612","","","0.751039981842041","","","0.6704021692276001","",""
"_uncorrected_lb_r2_manet","finished","-","","","2025-05-21T20:27:49.000Z","442","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","manet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_manet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","167","0.9841800928115844","","","0.8544794321060181","","","0.7465710639953613","","","0.9841800928115844","","","0.7479645013809204","","","0.6638407707214355","","","0.9969367384910583","","","0.9844090938568116","","","0.969308853149414","","","0.9969367980957032","","","0.9731932878494264","","","0.9547903537750244","","","835","0.9661951065063475","","","0.7686026692390442","","","0.6283833980560303","","","0.9661951065063475","","","0.7561657428741455","","","0.6766142249107361","",""
"_uncorrected_lb_r2_pspnet","finished","-","","","2025-05-21T20:23:26.000Z","252","","false","/data/GitHub/first_year_exam/data/data_uncorrected","/data/GitHub/first_year_exam/data/validation_lb.csv","","0","64","NETs splitted","100","128","10","/data/GitHub/first_year_exam/data/test_lb.csv","/data/GitHub/first_year_exam/data/train_lb.csv","false","false","pspnet","PSPNet","false","false","resnet34","imagenet","3","5","1","attention_unet","64","2","true","200","0.1","cuda:0","0.5","0.5","0.5","0.05","0.1","0.05","0.05","0.05","0.1","tversky","0.001","2","adamw","40","false","default","/data/GitHub/first_year_exam/results/_uncorrected_lb_r2_pspnet","/data/GitHub/first_year_exam/results","step_lr","ddp_find_unused_parameters_true","0.001","8","91","0.9867010116577148","","","0.8773260116577148","","","0.7825831174850464","","","0.98670095205307","","","0.8076366186141968","","","0.7300713062286377","","","0.9959657192230223","","","0.9792378544807434","","","0.9593319296836852","","","0.9959656596183776","","","0.9617666006088256","","","0.9366680383682252","","","455","0.9688102006912231","","","0.7863407135009766","","","0.6493198275566101","","","0.9688100814819336","","","0.7645817995071411","","","0.6909196376800537","",""
