"epoch","_data_uncorrected_r1_deeplabv3plus - _step","_data_uncorrected_r1_deeplabv3plus - _step__MIN","_data_uncorrected_r1_deeplabv3plus - _step__MAX","_data_uncorrected_r1_deeplabv3plus - valid_dataset_iou","_data_uncorrected_r1_deeplabv3plus - valid_dataset_iou__MIN","_data_uncorrected_r1_deeplabv3plus - valid_dataset_iou__MAX","_data_uncorrected_r1_unet - _step","_data_uncorrected_r1_unet - _step__MIN","_data_uncorrected_r1_unet - _step__MAX","_data_uncorrected_r1_unet - valid_dataset_iou","_data_uncorrected_r1_unet - valid_dataset_iou__MIN","_data_uncorrected_r1_unet - valid_dataset_iou__MAX","_data_uncorrected_r1_unetplusplus - _step","_data_uncorrected_r1_unetplusplus - _step__MIN","_data_uncorrected_r1_unetplusplus - _step__MAX","_data_uncorrected_r1_unetplusplus - valid_dataset_iou","_data_uncorrected_r1_unetplusplus - valid_dataset_iou__MIN","_data_uncorrected_r1_unetplusplus - valid_dataset_iou__MAX","_data_uncorrected_r1_manet - _step","_data_uncorrected_r1_manet - _step__MIN","_data_uncorrected_r1_manet - _step__MAX","_data_uncorrected_r1_manet - valid_dataset_iou","_data_uncorrected_r1_manet - valid_dataset_iou__MIN","_data_uncorrected_r1_manet - valid_dataset_iou__MAX","_data_uncorrected_r1_pspnet - _step","_data_uncorrected_r1_pspnet - _step__MIN","_data_uncorrected_r1_pspnet - _step__MAX","_data_uncorrected_r1_pspnet - valid_dataset_iou","_data_uncorrected_r1_pspnet - valid_dataset_iou__MIN","_data_uncorrected_r1_pspnet - valid_dataset_iou__MAX"
"10","20","20","20","0.37979063391685486","0.37979063391685486","0.37979063391685486","20","20","20","0.3326456546783447","0.3326456546783447","0.3326456546783447","20","20","20","0.3299148678779602","0.3299148678779602","0.3299148678779602","20","20","20","0.35250717401504517","0.35250717401504517","0.35250717401504517","20","20","20","0.3793979287147522","0.3793979287147522","0.3793979287147522"
"11","22","22","22","0.3019215762615204","0.3019215762615204","0.3019215762615204","22","22","22","0.3329412341117859","0.3329412341117859","0.3329412341117859","22","22","22","0.3315022587776184","0.3315022587776184","0.3315022587776184","22","22","22","0.33364614844322205","0.33364614844322205","0.33364614844322205","22","22","22","0.3437947928905487","0.3437947928905487","0.3437947928905487"
"12","24","24","24","0.29299625754356384","0.29299625754356384","0.29299625754356384","24","24","24","0.3426024913787842","0.3426024913787842","0.3426024913787842","24","24","24","0.33964353799819946","0.33964353799819946","0.33964353799819946","24","24","24","0.3145136535167694","0.3145136535167694","0.3145136535167694","24","24","24","0.28311580419540405","0.28311580419540405","0.28311580419540405"
"13","26","26","26","0.3137265741825104","0.3137265741825104","0.3137265741825104","26","26","26","0.31037551164627075","0.31037551164627075","0.31037551164627075","26","26","26","0.3111019730567932","0.3111019730567932","0.3111019730567932","26","26","26","0.3001224100589752","0.3001224100589752","0.3001224100589752","26","26","26","0.3029877543449402","0.3029877543449402","0.3029877543449402"
"14","28","28","28","0.31581926345825195","0.31581926345825195","0.31581926345825195","28","28","28","0.28091803193092346","0.28091803193092346","0.28091803193092346","28","28","28","0.2793509364128113","0.2793509364128113","0.2793509364128113","28","28","28","0.2972497344017029","0.2972497344017029","0.2972497344017029","28","28","28","0.24423512816429138","0.24423512816429138","0.24423512816429138"
"15","30","30","30","0.24821221828460693","0.24821221828460693","0.24821221828460693","30","30","30","0.19686530530452728","0.19686530530452728","0.19686530530452728","30","30","30","0.213059663772583","0.213059663772583","0.213059663772583","30","30","30","0.22820158302783966","0.22820158302783966","0.22820158302783966","30","30","30","0.23045063018798828","0.23045063018798828","0.23045063018798828"
"16","32","32","32","0.1712224781513214","0.1712224781513214","0.1712224781513214","32","32","32","0.1683463454246521","0.1683463454246521","0.1683463454246521","32","32","32","0.17323051393032074","0.17323051393032074","0.17323051393032074","32","32","32","0.18566977977752686","0.18566977977752686","0.18566977977752686","32","32","32","0.23407824337482452","0.23407824337482452","0.23407824337482452"
"17","34","34","34","0.17180490493774414","0.17180490493774414","0.17180490493774414","34","34","34","0.13482904434204102","0.13482904434204102","0.13482904434204102","34","34","34","0.14680570363998413","0.14680570363998413","0.14680570363998413","34","34","34","0.1566840410232544","0.1566840410232544","0.1566840410232544","34","34","34","0.19999456405639648","0.19999456405639648","0.19999456405639648"
"18","36","36","36","0.2507922053337097","0.2507922053337097","0.2507922053337097","36","36","36","0.1730041801929474","0.1730041801929474","0.1730041801929474","36","36","36","0.19278651475906372","0.19278651475906372","0.19278651475906372","36","36","36","0.21429003775119781","0.21429003775119781","0.21429003775119781","36","36","36","0.25495922565460205","0.25495922565460205","0.25495922565460205"
"19","38","38","38","0.27698636054992676","0.27698636054992676","0.27698636054992676","38","38","38","0.3009612560272217","0.3009612560272217","0.3009612560272217","38","38","38","0.2965623736381531","0.2965623736381531","0.2965623736381531","38","38","38","0.379541277885437","0.379541277885437","0.379541277885437","38","38","38","0.3505282998085022","0.3505282998085022","0.3505282998085022"
"20","40","40","40","0.20832309126853943","0.20832309126853943","0.20832309126853943","40","40","40","0.3565327525138855","0.3565327525138855","0.3565327525138855","40","40","40","0.316504567861557","0.316504567861557","0.316504567861557","40","40","40","0.4257451295852661","0.4257451295852661","0.4257451295852661","40","40","40","0.337313175201416","0.337313175201416","0.337313175201416"
"21","42","42","42","0.1468607485294342","0.1468607485294342","0.1468607485294342","42","42","42","0.29791057109832764","0.29791057109832764","0.29791057109832764","42","42","42","0.25815510749816895","0.25815510749816895","0.25815510749816895","42","42","42","0.36321544647216797","0.36321544647216797","0.36321544647216797","42","42","42","0.24038679897785187","0.24038679897785187","0.24038679897785187"
"22","44","44","44","0.1590060591697693","0.1590060591697693","0.1590060591697693","44","44","44","0.21413511037826538","0.21413511037826538","0.21413511037826538","44","44","44","0.19728636741638184","0.19728636741638184","0.19728636741638184","44","44","44","0.22859342396259308","0.22859342396259308","0.22859342396259308","44","44","44","0.1865626573562622","0.1865626573562622","0.1865626573562622"
"23","46","46","46","0.19254395365715027","0.19254395365715027","0.19254395365715027","46","46","46","0.16724827885627747","0.16724827885627747","0.16724827885627747","46","46","46","0.18365129828453064","0.18365129828453064","0.18365129828453064","46","46","46","0.1523096114397049","0.1523096114397049","0.1523096114397049","46","46","46","0.1858309805393219","0.1858309805393219","0.1858309805393219"
"24","48","48","48","0.21332627534866333","0.21332627534866333","0.21332627534866333","48","48","48","0.17249080538749695","0.17249080538749695","0.17249080538749695","48","48","48","0.2016286551952362","0.2016286551952362","0.2016286551952362","48","48","48","0.1626933515071869","0.1626933515071869","0.1626933515071869","48","48","48","0.20880341529846191","0.20880341529846191","0.20880341529846191"
"25","50","50","50","0.2293718159198761","0.2293718159198761","0.2293718159198761","50","50","50","0.1981966197490692","0.1981966197490692","0.1981966197490692","50","50","50","0.21274162828922272","0.21274162828922272","0.21274162828922272","50","50","50","0.20776338875293732","0.20776338875293732","0.20776338875293732","50","50","50","0.24122358858585358","0.24122358858585358","0.24122358858585358"
"26","52","52","52","0.22322005033493042","0.22322005033493042","0.22322005033493042","52","52","52","0.21102817356586456","0.21102817356586456","0.21102817356586456","52","52","52","0.210434228181839","0.210434228181839","0.210434228181839","52","52","52","0.22846871614456177","0.22846871614456177","0.22846871614456177","52","52","52","0.25824442505836487","0.25824442505836487","0.25824442505836487"
"27","54","54","54","0.21477356553077698","0.21477356553077698","0.21477356553077698","54","54","54","0.21309344470500946","0.21309344470500946","0.21309344470500946","54","54","54","0.21313147246837616","0.21313147246837616","0.21313147246837616","54","54","54","0.22583070397377014","0.22583070397377014","0.22583070397377014","54","54","54","0.2631402313709259","0.2631402313709259","0.2631402313709259"
"28","56","56","56","0.21365979313850403","0.21365979313850403","0.21365979313850403","56","56","56","0.21857911348342896","0.21857911348342896","0.21857911348342896","56","56","56","0.2249646782875061","0.2249646782875061","0.2249646782875061","56","56","56","0.20985731482505798","0.20985731482505798","0.20985731482505798","56","56","56","0.25944530963897705","0.25944530963897705","0.25944530963897705"
"29","58","58","58","0.203942209482193","0.203942209482193","0.203942209482193","58","58","58","0.22022421658039093","0.22022421658039093","0.22022421658039093","58","58","58","0.23088526725769043","0.23088526725769043","0.23088526725769043","58","58","58","0.1983804851770401","0.1983804851770401","0.1983804851770401","58","58","58","0.24116766452789307","0.24116766452789307","0.24116766452789307"
"30","60","60","60","0.18036523461341858","0.18036523461341858","0.18036523461341858","60","60","60","0.20533770322799683","0.20533770322799683","0.20533770322799683","60","60","60","0.2105019986629486","0.2105019986629486","0.2105019986629486","60","60","60","0.1988934427499771","0.1988934427499771","0.1988934427499771","60","60","60","0.22421053051948547","0.22421053051948547","0.22421053051948547"
"31","62","62","62","0.17722198367118835","0.17722198367118835","0.17722198367118835","62","62","62","0.19226187467575073","0.19226187467575073","0.19226187467575073","62","62","62","0.19384655356407166","0.19384655356407166","0.19384655356407166","62","62","62","0.20790725946426392","0.20790725946426392","0.20790725946426392","62","62","62","0.2332795411348343","0.2332795411348343","0.2332795411348343"
"32","64","64","64","0.20709741115570068","0.20709741115570068","0.20709741115570068","64","64","64","0.19670122861862183","0.19670122861862183","0.19670122861862183","64","64","64","0.19696849584579468","0.19696849584579468","0.19696849584579468","64","64","64","0.22357693314552307","0.22357693314552307","0.22357693314552307","64","64","64","0.26341724395751953","0.26341724395751953","0.26341724395751953"
"33","66","66","66","0.23538823425769806","0.23538823425769806","0.23538823425769806","66","66","66","0.2030068337917328","0.2030068337917328","0.2030068337917328","66","66","66","0.19987556338310242","0.19987556338310242","0.19987556338310242","66","66","66","0.22807323932647705","0.22807323932647705","0.22807323932647705","66","66","66","0.26814207434654236","0.26814207434654236","0.26814207434654236"
"34","68","68","68","0.2434779852628708","0.2434779852628708","0.2434779852628708","68","68","68","0.21025535464286804","0.21025535464286804","0.21025535464286804","68","68","68","0.2003103792667389","0.2003103792667389","0.2003103792667389","68","68","68","0.23667192459106445","0.23667192459106445","0.23667192459106445","68","68","68","0.24611690640449524","0.24611690640449524","0.24611690640449524"
"35","70","70","70","0.2438517063856125","0.2438517063856125","0.2438517063856125","70","70","70","0.2190973460674286","0.2190973460674286","0.2190973460674286","70","70","70","0.21057619154453278","0.21057619154453278","0.21057619154453278","70","70","70","0.24749615788459778","0.24749615788459778","0.24749615788459778","70","70","70","0.25903820991516113","0.25903820991516113","0.25903820991516113"
"36","72","72","72","0.2589849829673767","0.2589849829673767","0.2589849829673767","72","72","72","0.23546917736530304","0.23546917736530304","0.23546917736530304","72","72","72","0.22678448259830475","0.22678448259830475","0.22678448259830475","72","72","72","0.26382842659950256","0.26382842659950256","0.26382842659950256","72","72","72","0.308249831199646","0.308249831199646","0.308249831199646"
"37","74","74","74","0.29014939069747925","0.29014939069747925","0.29014939069747925","74","74","74","0.2507960796356201","0.2507960796356201","0.2507960796356201","74","74","74","0.23581676185131073","0.23581676185131073","0.23581676185131073","74","74","74","0.2884800136089325","0.2884800136089325","0.2884800136089325","74","74","74","0.3299912214279175","0.3299912214279175","0.3299912214279175"
"38","76","76","76","0.3084516227245331","0.3084516227245331","0.3084516227245331","76","76","76","0.275205135345459","0.275205135345459","0.275205135345459","76","76","76","0.2547209560871124","0.2547209560871124","0.2547209560871124","76","76","76","0.3229992091655731","0.3229992091655731","0.3229992091655731","76","76","76","0.3325478434562683","0.3325478434562683","0.3325478434562683"
"39","78","78","78","0.29925113916397095","0.29925113916397095","0.29925113916397095","78","78","78","0.29487472772598267","0.29487472772598267","0.29487472772598267","78","78","78","0.25147509574890137","0.25147509574890137","0.25147509574890137","78","78","78","0.34837111830711365","0.34837111830711365","0.34837111830711365","78","78","78","0.3319650888442993","0.3319650888442993","0.3319650888442993"
"40","80","80","80","0.2948278784751892","0.2948278784751892","0.2948278784751892","80","80","80","0.30938172340393066","0.30938172340393066","0.30938172340393066","80","80","80","0.253438800573349","0.253438800573349","0.253438800573349","80","80","80","0.35978713631629944","0.35978713631629944","0.35978713631629944","80","80","80","0.3470515012741089","0.3470515012741089","0.3470515012741089"
"41","82","82","82","0.3221883177757263","0.3221883177757263","0.3221883177757263","82","82","82","0.32757148146629333","0.32757148146629333","0.32757148146629333","82","82","82","0.27925795316696167","0.27925795316696167","0.27925795316696167","82","82","82","0.35505226254463196","0.35505226254463196","0.35505226254463196","82","82","82","0.3655847907066345","0.3655847907066345","0.3655847907066345"
"42","84","84","84","0.33057886362075806","0.33057886362075806","0.33057886362075806","84","84","84","0.33519047498703003","0.33519047498703003","0.33519047498703003","84","84","84","0.30902040004730225","0.30902040004730225","0.30902040004730225","84","84","84","0.3453899621963501","0.3453899621963501","0.3453899621963501","84","84","84","0.3605530261993408","0.3605530261993408","0.3605530261993408"
"43","86","86","86","0.3408734202384949","0.3408734202384949","0.3408734202384949","86","86","86","0.34976595640182495","0.34976595640182495","0.34976595640182495","86","86","86","0.34281814098358154","0.34281814098358154","0.34281814098358154","86","86","86","0.3695622384548187","0.3695622384548187","0.3695622384548187","86","86","86","0.37914496660232544","0.37914496660232544","0.37914496660232544"
"44","88","88","88","0.3349149823188782","0.3349149823188782","0.3349149823188782","88","88","88","0.36276987195014954","0.36276987195014954","0.36276987195014954","88","88","88","0.3529571294784546","0.3529571294784546","0.3529571294784546","88","88","88","0.3957139253616333","0.3957139253616333","0.3957139253616333","88","88","88","0.400285542011261","0.400285542011261","0.400285542011261"
"45","90","90","90","0.31438156962394714","0.31438156962394714","0.31438156962394714","90","90","90","0.3535469174385071","0.3535469174385071","0.3535469174385071","90","90","90","0.3362722396850586","0.3362722396850586","0.3362722396850586","90","90","90","0.3879162669181824","0.3879162669181824","0.3879162669181824","90","90","90","0.37561625242233276","0.37561625242233276","0.37561625242233276"
"46","92","92","92","0.3370742201805115","0.3370742201805115","0.3370742201805115","92","92","92","0.3603571355342865","0.3603571355342865","0.3603571355342865","92","92","92","0.35925453901290894","0.35925453901290894","0.35925453901290894","92","92","92","0.36713099479675293","0.36713099479675293","0.36713099479675293","92","92","92","0.3719399571418762","0.3719399571418762","0.3719399571418762"
"47","94","94","94","0.3649504780769348","0.3649504780769348","0.3649504780769348","94","94","94","0.3930897116661072","0.3930897116661072","0.3930897116661072","94","94","94","0.39637577533721924","0.39637577533721924","0.39637577533721924","94","94","94","0.3801683187484741","0.3801683187484741","0.3801683187484741","94","94","94","0.3964185118675232","0.3964185118675232","0.3964185118675232"
"48","96","96","96","0.3495228886604309","0.3495228886604309","0.3495228886604309","96","96","96","0.3914417624473572","0.3914417624473572","0.3914417624473572","96","96","96","0.38633695244789124","0.38633695244789124","0.38633695244789124","96","96","96","0.3950948715209961","0.3950948715209961","0.3950948715209961","96","96","96","0.39184099435806274","0.39184099435806274","0.39184099435806274"
"49","98","98","98","0.3130541443824768","0.3130541443824768","0.3130541443824768","98","98","98","0.36026671528816223","0.36026671528816223","0.36026671528816223","98","98","98","0.35118556022644043","0.35118556022644043","0.35118556022644043","98","98","98","0.39354199171066284","0.39354199171066284","0.39354199171066284","98","98","98","0.35607537627220154","0.35607537627220154","0.35607537627220154"
"50","100","100","100","0.3418005108833313","0.3418005108833313","0.3418005108833313","100","100","100","0.3915554881095886","0.3915554881095886","0.3915554881095886","100","100","100","0.3909948468208313","0.3909948468208313","0.3909948468208313","100","100","100","0.4021666944026947","0.4021666944026947","0.4021666944026947","100","100","100","0.37058985233306885","0.37058985233306885","0.37058985233306885"
"51","","","","","","","102","102","102","0.4013926088809967","0.4013926088809967","0.4013926088809967","102","102","102","0.41715699434280396","0.41715699434280396","0.41715699434280396","102","102","102","0.39114293456077576","0.39114293456077576","0.39114293456077576","102","102","102","0.3844892382621765","0.3844892382621765","0.3844892382621765"
"52","","","","","","","104","104","104","0.38787519931793213","0.38787519931793213","0.38787519931793213","104","104","104","0.4233071804046631","0.4233071804046631","0.4233071804046631","104","104","104","0.3791707754135132","0.3791707754135132","0.3791707754135132","104","104","104","0.37785887718200684","0.37785887718200684","0.37785887718200684"
"53","","","","","","","106","106","106","0.3727074861526489","0.3727074861526489","0.3727074861526489","106","106","106","0.39915478229522705","0.39915478229522705","0.39915478229522705","106","106","106","0.3668661415576935","0.3668661415576935","0.3668661415576935","106","106","106","0.35396790504455566","0.35396790504455566","0.35396790504455566"
"54","","","","","","","108","108","108","0.3774603009223938","0.3774603009223938","0.3774603009223938","108","108","108","0.3834720253944397","0.3834720253944397","0.3834720253944397","108","108","108","0.36819154024124146","0.36819154024124146","0.36819154024124146","108","108","108","0.3498660922050476","0.3498660922050476","0.3498660922050476"
"55","","","","","","","110","110","110","0.39169061183929443","0.39169061183929443","0.39169061183929443","110","110","110","0.39891505241394043","0.39891505241394043","0.39891505241394043","110","110","110","0.37242090702056885","0.37242090702056885","0.37242090702056885","110","110","110","0.3742385506629944","0.3742385506629944","0.3742385506629944"
"56","","","","","","","112","112","112","0.3926861882209778","0.3926861882209778","0.3926861882209778","112","112","112","0.42137742042541504","0.42137742042541504","0.42137742042541504","112","112","112","0.380868136882782","0.380868136882782","0.380868136882782","112","112","112","0.384863018989563","0.384863018989563","0.384863018989563"
"57","","","","","","","114","114","114","0.40647387504577637","0.40647387504577637","0.40647387504577637","114","114","114","0.44510021805763245","0.44510021805763245","0.44510021805763245","114","114","114","0.3980919122695923","0.3980919122695923","0.3980919122695923","114","114","114","0.3924546539783478","0.3924546539783478","0.3924546539783478"
"58","","","","","","","116","116","116","0.4208788275718689","0.4208788275718689","0.4208788275718689","116","116","116","0.4502407908439636","0.4502407908439636","0.4502407908439636","116","116","116","0.41673409938812256","0.41673409938812256","0.41673409938812256","116","116","116","0.38505756855010986","0.38505756855010986","0.38505756855010986"
"59","","","","","","","118","118","118","0.4329313337802887","0.4329313337802887","0.4329313337802887","118","118","118","0.4486820697784424","0.4486820697784424","0.4486820697784424","118","118","118","0.431144654750824","0.431144654750824","0.431144654750824","118","118","118","0.3926106095314026","0.3926106095314026","0.3926106095314026"
"60","","","","","","","120","120","120","0.44623586535453796","0.44623586535453796","0.44623586535453796","120","120","120","0.46969088912010193","0.46969088912010193","0.46969088912010193","120","120","120","0.45074403285980225","0.45074403285980225","0.45074403285980225","120","120","120","0.43214234709739685","0.43214234709739685","0.43214234709739685"
"61","","","","","","","122","122","122","0.43958961963653564","0.43958961963653564","0.43958961963653564","122","122","122","0.46311914920806885","0.46311914920806885","0.46311914920806885","122","122","122","0.4522126019001007","0.4522126019001007","0.4522126019001007","122","122","122","0.4432677626609802","0.4432677626609802","0.4432677626609802"
"62","","","","","","","124","124","124","0.4274718165397644","0.4274718165397644","0.4274718165397644","124","124","124","0.4526093006134033","0.4526093006134033","0.4526093006134033","124","124","124","0.4369051456451416","0.4369051456451416","0.4369051456451416","124","124","124","0.4250642657279968","0.4250642657279968","0.4250642657279968"
"63","","","","","","","126","126","126","0.43439191579818726","0.43439191579818726","0.43439191579818726","126","126","126","0.43441325426101685","0.43441325426101685","0.43441325426101685","126","126","126","0.4205043315887451","0.4205043315887451","0.4205043315887451","126","126","126","0.39554667472839355","0.39554667472839355","0.39554667472839355"
"64","","","","","","","128","128","128","0.44836491346359253","0.44836491346359253","0.44836491346359253","128","128","128","0.4476790130138397","0.4476790130138397","0.4476790130138397","128","128","128","0.41139405965805054","0.41139405965805054","0.41139405965805054","128","128","128","0.3900948762893677","0.3900948762893677","0.3900948762893677"
"65","","","","","","","130","130","130","0.455269992351532","0.455269992351532","0.455269992351532","130","130","130","0.461927592754364","0.461927592754364","0.461927592754364","130","130","130","0.41580668091773987","0.41580668091773987","0.41580668091773987","130","130","130","0.42316868901252747","0.42316868901252747","0.42316868901252747"
"66","","","","","","","132","132","132","0.43961334228515625","0.43961334228515625","0.43961334228515625","132","132","132","0.4457085430622101","0.4457085430622101","0.4457085430622101","132","132","132","0.40789663791656494","0.40789663791656494","0.40789663791656494","132","132","132","0.43288975954055786","0.43288975954055786","0.43288975954055786"
"67","","","","","","","134","134","134","0.4342786371707916","0.4342786371707916","0.4342786371707916","134","134","134","0.4191344380378723","0.4191344380378723","0.4191344380378723","134","134","134","0.3992006778717041","0.3992006778717041","0.3992006778717041","134","134","134","0.4200172424316406","0.4200172424316406","0.4200172424316406"
"68","","","","","","","136","136","136","0.44868627190589905","0.44868627190589905","0.44868627190589905","136","136","136","0.4256852865219116","0.4256852865219116","0.4256852865219116","136","136","136","0.4082360565662384","0.4082360565662384","0.4082360565662384","136","136","136","0.42588797211647034","0.42588797211647034","0.42588797211647034"
"69","","","","","","","138","138","138","0.4461987018585205","0.4461987018585205","0.4461987018585205","138","138","138","0.43116283416748047","0.43116283416748047","0.43116283416748047","138","138","138","0.4109850227832794","0.4109850227832794","0.4109850227832794","138","138","138","0.4446770250797272","0.4446770250797272","0.4446770250797272"
"70","","","","","","","140","140","140","0.43093204498291016","0.43093204498291016","0.43093204498291016","140","140","140","0.41463080048561096","0.41463080048561096","0.41463080048561096","140","140","140","0.39434880018234253","0.39434880018234253","0.39434880018234253","140","140","140","0.44077008962631226","0.44077008962631226","0.44077008962631226"
"71","","","","","","","142","142","142","0.43067410588264465","0.43067410588264465","0.43067410588264465","142","142","142","0.400312602519989","0.400312602519989","0.400312602519989","142","142","142","0.39417165517807007","0.39417165517807007","0.39417165517807007","142","142","142","0.4296187460422516","0.4296187460422516","0.4296187460422516"
"72","","","","","","","144","144","144","0.4192394018173218","0.4192394018173218","0.4192394018173218","144","144","144","0.3882718086242676","0.3882718086242676","0.3882718086242676","144","144","144","0.39656245708465576","0.39656245708465576","0.39656245708465576","144","144","144","0.41492944955825806","0.41492944955825806","0.41492944955825806"
"73","","","","","","","146","146","146","0.4167012572288513","0.4167012572288513","0.4167012572288513","146","146","146","0.4015672504901886","0.4015672504901886","0.4015672504901886","146","146","146","0.40462493896484375","0.40462493896484375","0.40462493896484375","146","146","146","0.431614488363266","0.431614488363266","0.431614488363266"
"74","","","","","","","148","148","148","0.4166073799133301","0.4166073799133301","0.4166073799133301","148","148","148","0.42171937227249146","0.42171937227249146","0.42171937227249146","148","148","148","0.41535884141921997","0.41535884141921997","0.41535884141921997","148","148","148","0.4545886516571045","0.4545886516571045","0.4545886516571045"
"75","","","","","","","150","150","150","0.40321415662765503","0.40321415662765503","0.40321415662765503","150","150","150","0.4278917610645294","0.4278917610645294","0.4278917610645294","150","150","150","0.41212284564971924","0.41212284564971924","0.41212284564971924","150","150","150","0.44269058108329773","0.44269058108329773","0.44269058108329773"
"76","","","","","","","152","152","152","0.40062215924263","0.40062215924263","0.40062215924263","152","152","152","0.42596280574798584","0.42596280574798584","0.42596280574798584","152","152","152","0.40751588344573975","0.40751588344573975","0.40751588344573975","152","152","152","0.4276444613933563","0.4276444613933563","0.4276444613933563"
